MODE, N, BUBBLE, QUICK, MERGE, HEAP, INSERTION, COUNTING
RANDOM, 1000, 0.015991926193237305, 0.019955158233642578, 0.0006892681121826172, 0.0001537799835205078, 4.506111145019531e-05, 0.0001227855682373047
RANDOM, 2000, 0.017403364181518555, 0.00045108795166015625, 0.00067901611328125, 0.0009450912475585938, 0.006851673126220703, 0.00015211105346679688
RANDOM, 3000, 0.01585102081298828, 0.0004100799560546875, 0.0006480216979980469, 0.0009038448333740234, 0.006780147552490234, 0.0002009868621826172
RANDOM, 4000, 0.014968156814575195, 0.0004248619079589844, 0.0006241798400878906, 0.0008809566497802734, 0.00660395622253418, 0.0002372264862060547
RANDOM, 5000, 0.01568007469177246, 0.0003771781921386719, 0.0005939006805419922, 0.0008981227874755859, 0.006676912307739258, 0.00025916099548339844
RANDOM, 6000, 0.015213251113891602, 0.0004448890686035156, 0.0006120204925537109, 0.0009107589721679688, 0.006649971008300781, 0.0002961158752441406
RANDOM, 7000, 0.014986991882324219, 0.0003879070281982422, 0.0005810260772705078, 0.0008807182312011719, 0.006356954574584961, 0.00031113624572753906
RANDOM, 8000, 0.015158891677856445, 0.0004532337188720703, 0.0006339550018310547, 0.0008928775787353516, 0.006855010986328125, 0.00034809112548828125
RANDOM, 9000, 0.01491403579711914, 0.00040984153747558594, 0.0006411075592041016, 0.0008299350738525391, 0.006186962127685547, 0.0003821849822998047
RANDOM, 10000, 0.014960289001464844, 0.00041794776916503906, 0.0012311935424804688, 0.001116037368774414, 0.006155967712402344, 0.0006151199340820312
RANDOM, 11000, 0.015189886093139648, 0.00042700767517089844, 0.0006389617919921875, 0.0008549690246582031, 0.006466865539550781, 0.00045609474182128906
RANDOM, 12000, 0.015816926956176758, 0.00043010711669921875, 0.0006389617919921875, 0.0009129047393798828, 0.006300926208496094, 0.0004589557647705078
RANDOM, 13000, 0.015122175216674805, 0.00039386749267578125, 0.0006372928619384766, 0.0008769035339355469, 0.006696224212646484, 0.0004909038543701172
RANDOM, 14000, 0.014981269836425781, 0.00043392181396484375, 0.0006258487701416016, 0.0008981227874755859, 0.006558895111083984, 0.0005402565002441406
RANDOM, 15000, 0.015103816986083984, 0.0003898143768310547, 0.0005929470062255859, 0.0008261203765869141, 0.0061168670654296875, 0.0005252361297607422
RANDOM, 16000, 0.01579594612121582, 0.0004076957702636719, 0.0006499290466308594, 0.0009150505065917969, 0.006631135940551758, 0.0005927085876464844
RANDOM, 17000, 0.01505899429321289, 0.0004150867462158203, 0.0006427764892578125, 0.0008182525634765625, 0.0063478946685791016, 0.0006780624389648438
RANDOM, 18000, 0.015258073806762695, 0.0003941059112548828, 0.0006439685821533203, 0.0008878707885742188, 0.0067021846771240234, 0.0006430149078369141
RANDOM, 19000, 0.014742851257324219, 0.00039386749267578125, 0.000701904296875, 0.0010190010070800781, 0.0066070556640625, 0.0006818771362304688
RANDOM, 20000, 0.015414953231811523, 0.0004220008850097656, 0.0006551742553710938, 0.0009169578552246094, 0.007256984710693359, 0.0008440017700195312
RANDOM, 21000, 0.016009092330932617, 0.0004570484161376953, 0.0005991458892822266, 0.0008900165557861328, 0.0065801143646240234, 0.0008211135864257812
RANDOM, 22000, 0.015304088592529297, 0.00041794776916503906, 0.0006730556488037109, 0.0008959770202636719, 0.0063741207122802734, 0.0009016990661621094
RANDOM, 23000, 0.015601158142089844, 0.0003960132598876953, 0.000701904296875, 0.0008866786956787109, 0.0064961910247802734, 0.0008161067962646484
RANDOM, 24000, 0.015208244323730469, 0.00041866302490234375, 0.0006392002105712891, 0.0009250640869140625, 0.006463050842285156, 0.0008299350738525391
RANDOM, 25000, 0.015347957611083984, 0.00041794776916503906, 0.0006129741668701172, 0.0009169578552246094, 0.006389141082763672, 0.000946044921875
RANDOM, 26000, 0.015499114990234375, 0.00043082237243652344, 0.0006618499755859375, 0.0009071826934814453, 0.006518840789794922, 0.000988006591796875
RANDOM, 27000, 0.015559911727905273, 0.00044608116149902344, 0.0006880760192871094, 0.0009148120880126953, 0.006331920623779297, 0.0009088516235351562
RANDOM, 28000, 0.015455961227416992, 0.0004138946533203125, 0.0006692409515380859, 0.0009069442749023438, 0.00677180290222168, 0.0009379386901855469
RANDOM, 29000, 0.014897823333740234, 0.0004398822784423828, 0.0006442070007324219, 0.0008900165557861328, 0.006551980972290039, 0.0009641647338867188
RANDOM, 30000, 0.014930009841918945, 0.00040030479431152344, 0.0006098747253417969, 0.0008959770202636719, 0.006334781646728516, 0.0011358261108398438
RANDOM, 31000, 0.015481233596801758, 0.00039196014404296875, 0.0006289482116699219, 0.0008759498596191406, 0.006330013275146484, 0.0010371208190917969
RANDOM, 32000, 0.015037775039672852, 0.0004100799560546875, 0.0006248950958251953, 0.0008869171142578125, 0.006570100784301758, 0.001035928726196289
RANDOM, 33000, 0.0157320499420166, 0.00039315223693847656, 0.0005908012390136719, 0.0008370876312255859, 0.006595134735107422, 0.001051187515258789
RANDOM, 34000, 0.015787124633789062, 0.00040984153747558594, 0.0006630420684814453, 0.0009081363677978516, 0.006702899932861328, 0.0012159347534179688
RANDOM, 35000, 0.015330076217651367, 0.0004429817199707031, 0.0006260871887207031, 0.0008959770202636719, 0.0068128108978271484, 0.0012748241424560547
RANDOM, 36000, 0.01506495475769043, 0.0003948211669921875, 0.0006339550018310547, 0.0008702278137207031, 0.006372928619384766, 0.0011851787567138672
RANDOM, 37000, 0.015468120574951172, 0.00041174888610839844, 0.0006279945373535156, 0.0008950233459472656, 0.006567955017089844, 0.0014209747314453125
RANDOM, 38000, 0.014478206634521484, 0.00039505958557128906, 0.0005860328674316406, 0.0008177757263183594, 0.0061419010162353516, 0.0011131763458251953
RANDOM, 39000, 0.014698982238769531, 0.0004048347473144531, 0.0006823539733886719, 0.0008738040924072266, 0.00641179084777832, 0.0012998580932617188
RANDOM, 40000, 0.015069007873535156, 0.0003800392150878906, 0.0005919933319091797, 0.000865936279296875, 0.006514072418212891, 0.0014531612396240234
RANDOM, 41000, 0.015221118927001953, 0.0003972053527832031, 0.0005986690521240234, 0.0008361339569091797, 0.006793022155761719, 0.0013549327850341797
RANDOM, 42000, 0.015293359756469727, 0.00040411949157714844, 0.0006420612335205078, 0.0009059906005859375, 0.006358146667480469, 0.0013628005981445312
RANDOM, 43000, 0.015869855880737305, 0.0004229545593261719, 0.0006380081176757812, 0.0008831024169921875, 0.006781816482543945, 0.0014200210571289062
RANDOM, 44000, 0.01522517204284668, 0.0004220008850097656, 0.0006439685821533203, 0.0008971691131591797, 0.006657123565673828, 0.0014300346374511719
RANDOM, 45000, 0.015435934066772461, 0.00039696693420410156, 0.0006229877471923828, 0.000865936279296875, 0.006629228591918945, 0.001470804214477539
RANDOM, 46000, 0.015164852142333984, 0.0004029273986816406, 0.0006380081176757812, 0.0008599758148193359, 0.006654024124145508, 0.0014841556549072266
RANDOM, 47000, 0.015314102172851562, 0.0003769397735595703, 0.0005807876586914062, 0.0008471012115478516, 0.006648063659667969, 0.0015590190887451172
RANDOM, 48000, 0.014958858489990234, 0.0004000663757324219, 0.0006196498870849609, 0.0008821487426757812, 0.006406068801879883, 0.0015659332275390625
RANDOM, 49000, 0.015218257904052734, 0.0003960132598876953, 0.0006301403045654297, 0.0008840560913085938, 0.0064411163330078125, 0.0017390251159667969
RANDOM, 50000, 0.015357255935668945, 0.00042128562927246094, 0.0005929470062255859, 0.0008571147918701172, 0.006829977035522461, 0.0016789436340332031
REVERSE, 1000, 9.5367431640625e-07, 9.5367431640625e-07, 0.0, 9.5367431640625e-07, 0.0, 9.5367431640625e-07
