		n 		 BubbleSort 		 InsertionSort 		 MergeSort 		 HeapSort 		 QuickSort 		 CountingSort
		 79000 		0.0182 		0.0076 		0.0007 		0.001 		0.0005 		0.004
		 80000 		0.0182 		0.0074 		0.0007 		0.001 		0.0005 		0.0039
		 81000 		0.0181 		0.0077 		0.0007 		0.001 		0.0005 		0.0042
		 82000 		0.0179 		0.0075 		0.0007 		0.001 		0.0005 		0.004
		 83000 		0.0186 		0.0079 		0.0008 		0.001 		0.0005 		0.0041
		 84000 		0.0182 		0.0076 		0.0007 		0.001 		0.0005 		0.0042
		 85000 		0.0184 		0.0076 		0.0007 		0.001 		0.0005 		0.0043
		 86000 		0.0185 		0.0077 		0.0008 		0.001 		0.0005 		0.0042
		 87000 		0.0182 		0.0076 		0.0007 		0.001 		0.0005 		0.0044
		 88000 		0.0182 		0.0078 		0.0008 		0.001 		0.0005 		0.0044
		 89000 		0.0184 		0.0077 		0.0007 		0.001 		0.0005 		0.0044
		 90000 		0.0183 		0.0077 		0.0008 		0.001 		0.0005 		0.0045
		 91000 		0.018 		0.0074 		0.0008 		0.001 		0.0005 		0.0045
		 92000 		0.0183 		0.0074 		0.0007 		0.0011 		0.0005 		0.0047
		 93000 		0.0185 		0.0075 		0.0007 		0.0011 		0.0005 		0.0046
		 94000 		0.0182 		0.0078 		0.0007 		0.001 		0.0005 		0.0046
		 95000 		0.0184 		0.0077 		0.0007 		0.001 		0.0005 		0.0047
		 96000 		0.0183 		0.0077 		0.0007 		0.001 		0.0005 		0.0049
		 97000 		0.0184 		0.0079 		0.0007 		0.001 		0.0005 		0.0049
		 98000 		0.0182 		0.0076 		0.0007 		0.001 		0.0005 		0.0049
		 99000 		0.0183 		0.0076 		0.0007 		0.001 		0.0005 		0.005
		 100000 		0.0186 		0.0077 		0.0007 		0.001 		0.0005 		0.005
[[REVERSE]]
		 n 		 BubbleSort 		 InsertionSort 		 MergeSort 		 HeapSort 		 QuickSort 		 CountingSort
		 1000 		0.0 		0.0 		0.0 		0.0 		0.0 				 2000 		0.0224 		0.0147 		0.0006 		0.001 		0.0127 		0.0001
		 3000 		0.0935 		0.06 		0.0013 		0.0021 		0.0502 		0.0003
		 4000 		0.2112 		0.1367 		0.002 		0.0033 		0.1146 		0.0004
		 5000 		0.3777 		0.2452 		0.0028 		0.0046 		0.2068 		0.0005
		 6000 		0.596 		0.384 		0.0036 		0.0059 		0.3194 		0.0006
		 7000 		0.8611 		0.5573 		0.0044 		0.0074 		0.4605 		0.0007
		 8000 		1.1732 		0.7571 		0.0052 		0.0088 		0.6291 		0.0008
		 9000 		
